Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,MINST12---,CONTEMPORARY INDIGENOUS STUDIES 12,Social Studies,,,Regular,84,,95,,24,,4.0
,,,,,,,,11,,,,,
,MINST12C--,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE,Social Studies,,,Regular,46,,46,,24,,2.0
,,,,,,,,0,,,,,
,MIT--11---,ITALIAN 11,Languages,,,Regular,14,,14,,29,,1.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 7,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MIT--12---,ITALIAN 12,Languages,,,Regular,0,,1,,29,,1.0
,,,,,,,,1,,,,,
,MJA--10---,JAPANESE 10,Languages,,,Regular,2,,2,,75,,1.0
,,,,,,,,0,,,,,
,MJA--11---,JAPANESE 11,Languages,,,Regular,2,,2,,75,,1.0
,,,,,,,,0,,,,,
,MJA--12---,JAPANESE 12,Languages,,,Regular,2,,2,,75,,1.0
,,,,,,,,0,,,,,
,MKOR-10---,KOREAN 10,Languages,,,Regular,62,,62,,75,,1.0
,,,,,,,,0,,,,,
,MKOR-11---,KOREAN 11,Languages,,,Regular,62,,62,,75,,1.0
,,,,,,,,0,,,,,
,MKOR-12---,KOREAN 12,Languages,,,Regular,62,,62,,75,,1.0
,,,,,,,,0,,,,,
,MLFSC11---,LIFE SCIENCES 11,Science,,,Regular,68,,85,,23,,3.0
,,,,,,,,17,,,,,
,MLST-12---,LAW STUDIES 12,Social Studies,,,Regular,90,,118,,24,,4.0
,,,,,,,,28,,,,,
,MLTST11---,LITERARY STUDIES 11,English,,,Regular,47,,92,,24,,2.0
,,,,,,,,45,,,,,
,MLTST11C--,LITERARY STUDIES 11 Challenge,English,,,Regular,46,,46,,24,,2.0
,,,,,,,,0,,,,,
,MLTST12---,LITERARY STUDIES 12,English,,,Regular,24,,24,,24,,1.0
,,,,,,,,0,,,,,
,MMA--09---,MATHEMATICS 9,Mathematics,,,Regular,135,,137,,29,,5.0
,,,,,,,,2,,,,,
,MMA--09C--,MATHEMATICS 9 CHALLENGE,Mathematics,,,Regular,46,,46,,29,,2.0
,,,,,,,,0,,,,,
,MMA--09H--,MATHEMATICS 9 HONOURS,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,MMACS11---,COMPUTER SCIENCE 11,Mathematics,,,Regular,80,,104,,24,,3.0
,,,,,,,,24,,,,,
,MMACS12---,COMPUTER SCIENCE 12,Mathematics,,,Regular,53,,58,,24,,3.0
,,,,,,,,5,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 8,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MMAP-11---,MARKETING AND PROMOTION 11,Applied Skills,,,Regular,46,,86,,29,,2.0
,,,,,,,,40,,,,,
,MMEDD10---,ADST – MEDIA DESIGN 10,Information Tech,,,Regular,21,,38,,24,,2.0
,,,,,,,,17,,,,,
,MMEDD11---,MEDIA DESIGN 11,Information Tech,,,Regular,14,,26,,24,,2.0
,,,,,,,,12,,,,,
,MMEDD12---,MEDIA DESIGN 12,Information Tech,,,Regular,11,,21,,24,,2.0
,,,,,,,,10,,,,,
,MMUCB10--L,INSTRUMENTAL MUSIC: CONCERT BAND 10 Linear,Music,,,Regular,21,,21,,100,,1.0
,,,,,,,,0,,,,,
,MMUCC10--L,CHORAL MUSIC: CONCERT CHOIR 10 Linear,Music,,,Regular,4,,4,,50,,1.0
,,,,,,,,0,,,,,
,MMUGT10---,INSTRUMENTAL MUSIC: GUITAR 10,Music,,,Regular,1,,1,,29,,1.0
,,,,,,,,0,,,,,
,MMUJB10--L,INSTRUMENTAL MUSIC: JAZZ BAND 10 Linear,Music,,,Regular,13,,13,,100,,1.0
,,,,,,,,0,,,,,
,MMUOR10S-L,INSTRUMENTAL MUSIC: ORCHESTRA 10 Strings LINEAR,Music,,,Regular,4,,4,,100,,1.0
,,,,,,,,0,,,,,
,MMUOR11S-L,INSTRUMENTAL MUSIC: ORCHESTRA 11 Strings Linear,Music,,,Regular,17,,17,,100,,1.0
,,,,,,,,0,,,,,
,MMUOR12S-L,INSTRUMENTAL MUSIC: ORCHESTRA 12 Strings Linear,Music,,,Regular,9,,9,,100,,1.0
,,,,,,,,0,,,,,
,MODED11---,OUTDOOR EDUCATION 11,Physical Education,,,Regular,9,,18,,29,,1.0
,,,,,,,,9,,,,,
,MODED12---,OUTDOOR EDUCATION 12,Physical Education,,,Regular,14,,19,,29,,1.0
,,,,,,,,5,,,,,
,MPGEO12---,PHYSICAL GEOGRAPHY 12,Social Studies,,,Regular,30,,39,,24,,1.0
,,,,,,,,9,,,,,
,MPH--11---,PHYSICS 11,Science,,,Regular,149,,152,,23,,7.0
,,,,,,,,3,,,,,
,MPH--12---,PHYSICS 12,Science,,,Regular,69,,72,,23,,3.0
,,,,,,,,3,,,,,
,MPHE-09---,PHYSICAL AND HEALTH EDUCATION 9,Physical Education,,,Regular,30,,30,,29,,3.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 9,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MPHE-09--L,PHYSICAL AND HEALTH EDUCATION 9 Linear,Physical Education,,,Regular,55,,55,,32,,2.0
,,,,,,,,0,,,,,
,MPHE-09B--,PHYSICAL AND HEALTH EDUCATION 9 Boys,Physical Education,,,Regular,88,,88,,29,,5.0
,,,,,,,,0,,,,,
,MPHE-09G--,PHYSICAL AND HEALTH EDUCATION 9 Girls,Physical Education,,,Regular,42,,42,,29,,4.0
,,,,,,,,0,,,,,
,MPHE-09Y--,PHYSICAL AND HEALTH EDUCATION 9 Yoga for Mindfulns,Physical Education,,,Regular,8,,20,,29,,1.0
,,,,,,,,12,,,,,
,MPHED10---,PHYSICAL AND HEALTH EDUCATION 10,Physical Education,,,Regular,37,,37,,29,,3.0
,,,,,,,,0,,,,,
,MPHED10--L,PHYSICAL AND HEALTH EDUCATION 10 LINEAR,Physical Education,,,Regular,27,,27,,29,,3.0
,,,,,,,,0,,,,,
,MPHED10B--,PHYSICAL AND HEALTH EDUCATION 10 Boys,Physical Education,,,Regular,59,,60,,29,,5.0
,,,,,,,,1,,,,,
,MPHED10G--,PHYSICAL AND HEALTH EDUCATION 10 Girls,Physical Education,,,Regular,55,,56,,29,,4.0
,,,,,,,,1,,,,,
,MPREC11---,PRE-CALCULUS 11,Mathematics,,,Regular,153,,155,,29,,6.0
,,,,,,,,2,,,,,
,MPREC11H--,PRE-CALCULUS 11 HONOURS,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,MPREC12---,PRE-CALCULUS 12,Mathematics,,,Regular,136,,151,,29,,7.0
,,,,,,,,15,,,,,
,MPREC12H--,PRE-CALCULUS 12 HONOURS,Mathematics,,,Regular,29,,29,,29,,1.0
,,,,,,,,0,,,,,
,MSC--09---,SCIENCE 9,Science,,,Regular,175,,175,,23,,8.0
,,,,,,,,0,,,,,
,MSC--09C--,SCIENCE 9: CHALLENGE,Science,,,Regular,46,,46,,23,,2.0
,,,,,,,,0,,,,,
,MSC--10---,SCIENCE 10,Science,,,Regular,159,,160,,23,,7.0
,,,,,,,,1,,,,,
,MSC--10C--,SCIENCE 10: CHALLENGE,Science,,,Regular,42,,42,,23,,2.0
,,,,,,,,0,,,,,
,MSP--,SPANISH 9,Modern Languages,,,Regular,54,,74,,29,,2.0
,,,,,,,,20,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 10,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,09---,,,,,,,,,,,,
,MSP--10---,SPANISH 10,Modern Languages,,,Regular,42,,50,,29,,2.0
,,,,,,,,8,,,,,
,MSP--11---,SPANISH 11,Modern Languages,,,Regular,35,,40,,29,,2.0
,,,,,,,,5,,,,,
,MSP--12---,SPANISH 12,Modern Languages,,,Regular,7,,13,,29,,1.0
,,,,,,,,6,,,,,
,MSPLG10--L,SPOKEN LANGUAGE 10 LINEAR,English,,,Regular,23,,23,,24,,2.0
,,,,,,,,0,,,,,
,MSPLG11---,SPOKEN LANGUAGE 11,English,,,Regular,12,,12,,24,,2.0
,,,,,,,,0,,,,,
,MSS--09---,SOCIAL STUDIES 9,Social Studies,,,Regular,171,,171,,24,,8.0
,,,,,,,,0,,,,,
,MSS--09C--,SOCIAL STUDIES 9 CHALLENGE,Social Studies,,,Regular,46,,46,,24,,2.0
,,,,,,,,0,,,,,
,MSS--10---,SOCIAL STUDIES 10,Social Studies,,,Regular,160,,161,,24,,7.0
,,,,,,,,1,,,,,
,MSS--10C--,SOCIAL STUDIES 10 CHALLENGE,Social Studies,,,Regular,42,,42,,24,,2.0
,,,,,,,,0,,,,,
,MSTAT12---,STATISTICS 12,Mathematics,,,Regular,33,,43,,29,,1.0
,,,,,,,,10,,,,,
,MSTX-0A---,YOUTH EXPLORE TRADES SKILLS 10A,Applied Skills,,,Regular,8,,18,,21,,1.0
,,,,,,,,10,,,,,
,MSTX-1A---,YOUTH EXPLORE TRADES SKILLS 11A,Applied Skills,,,Regular,5,,12,,21,,2.0
,,,,,,,,7,,,,,
,MSTX-2A---,YOUTH EXPLORE TRADES SKILLS 12A,Applied Skills,,,Regular,9,,12,,21,,2.0
,,,,,,,,3,,,,,
,MTAUT11---,AUTOMOTIVE TECHNOLOGY 11,Applied Skills,,,Regular,31,,41,,21,,3.0
,,,,,,,,10,,,,,
,MTAUT12---,AUTOMOTIVE TECHNOLOGY 12,Applied Skills,,,Regular,31,,35,,21,,3.0
,,,,,,,,4,,,,,
,MTDRF10---,ADST –  DRAFTING 10,Applied Skills,,,Regular,26,,48,,24,,5.0
,,,,,,,,22,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
Page 11,,,,,,,,,,,,"June 15, 2023",
,Number,Description,Department,,,Lvl,Primary,Alternate,Total,,Enrollment Max,,Section Count
,MTDRF11---,DRAFTING 11,Applied Skills,,,Regular,16,,32,,24,,4.0
,,,,,,,,16,,,,,
,MTDRF12---,DRAFTING 12,Applied Skills,,,Regular,18,,29,,24,,4.0
,,,,,,,,11,,,,,
,MTEAD12---,ENGINE AND DRIVETRAIN 12,Applied Skills,,,Regular,7,,10,,21,,3.0
,,,,,,,,3,,,,,
,MTEAR10---,ADST –  ELECTRONICS AND ROBOTICS 10,Applied Skills,,,Regular,11,,26,,24,,3.0
,,,,,,,,15,,,,,
,MTEXP10D--,ADST-Technology Explorations 10 Design Innov & Inq,Information Tech,,,,3,,9,,24,,1.0
,,,,,,,,6,,,,,
,MTPOW10---,ADST –  POWER TECHNOLOGY 10,Applied Skills,,,Regular,25,,35,,21,,3.0
,,,,,,,,10,,,,,
,MTROB11---,ROBOTICS 11,Applied Skills,,,Regular,5,,14,,24,,3.0
,,,,,,,,9,,,,,
,MTROB12---,ROBOTICS 12,Applied Skills,,,Regular,6,,12,,24,,3.0
,,,,,,,,6,,,,,
,MVAPH10---,VISUAL ARTS: PHOTOGRAPHY 10,Fine Arts,,,Regular,19,,41,,24,,2.0
,,,,,,,,22,,,,,
,MVAPH11---,PHOTOGRAPHY 11,Fine Arts,,,Regular,21,,36,,24,,2.0
,,,,,,,,15,,,,,
,MVAPH12---,PHOTOGRAPHY 12,Fine Arts,,,Regular,11,,18,,24,,2.0
,,,,,,,,7,,,,,
,MVAST10---,VISUAL ARTS: ART STUDIO 10,Fine Arts,,,Regular,23,,43,,29,,3.0
,,,,,,,,20,,,,,
,MVAST11---,ART STUDIO 11,Fine Arts,,,Regular,26,,38,,29,,2.0
,,,,,,,,12,,,,,
,MVAST12---,ART STUDIO 12,Fine Arts,,,Regular,25,,32,,29,,2.0
,,,,,,,,7,,,,,
,MWBDV10IT-,Information and Communications Technologies 10,Information Tech,,,,27,,31,,24,,5.0
,,,,,,,,4,,,,,
,MWEX-2A---,WORK EXPERIENCE 12A,Career Prep,,,Regular,1,,1,,29,,1.0
,,,,,,,,0,,,,,
,MWEX-,WORK EXPERIENCE 12A LINEAR,Career Prep,,,Regular,16,,16,,29,,1.0
,,,,,,,,0,,,,,
Greater Victoria 61  ,,,,,,,,,,Mount Douglas Secondary,,,
,,,,,Course Tally,,,,,,,,
,,,,2023-2024,,,,,,,,,
